## Type: filter
## Name: Ziva tripple band filter 481-547-647 (10-11104)
## emailed from Lumencor 2024/04/29
wavelength,transmission
300,0.0000398121076731222
300.5,0.0000167294837132865
301,0.0000353008276087392
301.5,0.0000358461779890574
302,0.0000314987453289673
302.5,0.0000237026850727934
303,0.0000402705302203688
303.5,0.00000698463892641611
304,0.0000154306695010023
304.5,0.00005589069670721
305,0.0000210360364112029
305.5,0.0000184168493928732
306,0.00000525438267155754
306.5,0.0000328591179819896
307,0.0000351096256753337
307.5,0.0000206729147982979
308,0.0000389797351019677
308.5,0.0000404065475550285
309,0.00000322712287802914
309.5,0.0000235933892670895
310,0.0000450113707921033
310.5,0.000030113961829502
311,0.0000338884499490833
311.5,0.0000595073092965409
312,0.0000228739035496507
312.5,0.0000466384959298411
313,0.0000308682130254676
313.5,0.0000466561520908373
314,0.0000410990480098227
314.5,0.0000341620110368653
315,0.0000252331033901935
315.5,0.0000181982108538221
316,0.0000042391090985829
316.5,0.0000278562074096052
317,0.0000165538290088368
317.5,0.0000287119565624216
318,0.0000266528329036697
318.5,0.0000186481786842651
319,0.0000333663012513906
319.5,0.0000125386592099296
320,0.0000576816156843089
320.5,0.0000486373261655698
321,0.000037406662394786
321.5,0.0000137497876815798
322,0.0000199602333184518
322.5,0.0000266976944988578
323,0.0000733209303961267
323.5,0.0000387709202730828
324,0.000042018359658944
324.5,0.0000315172150968976
325,0.0000130506239177247
325.5,0.0000367319372405623
326,0.0000475716963099493
326.5,0.0000360817073439665
327,0.0000496993800341703
327.5,0.0000487067573047124
328,0.0000387520663692203
328.5,0.0000163775712074945
329,0.0000622439295076712
329.5,0.0000267787374170057
330,0.000018522143136056
330.5,0.0000151106344358543
331,0.0000276013633987702
331.5,0.0000252103706086503
332,0.0000183140323389566
332.5,0.0000327752698463991
333,0.0000286930133348851
333.5,0.0000418165929306288
334,0.0000150037649985684
334.5,0.0000684018613594087
335,0.0000294910348305183
335.5,0.000024248624968191
336,0.000047971623829566
336.5,0.0000337589319999169
337,0.0000111773889368273
337.5,0.0000391396569421767
338,0.00000275885041705261
338.5,0.0000419370455360467
339,0.0000170907303887469
339.5,0.0000169003414402286
340,0.000000001
340.5,0.0000201420454797955
341,0.0000510019091234189
341.5,0.0000357462691897919
342,0.0000388485304884174
342.5,0.0000406656370891168
343,0.0000386054975516395
343.5,0.0000221754421269045
344,0.0000171760586413546
344.5,0.0000314003021846476
345,0.00001757241101424
345.5,0.0000367300654001857
346,0.0000224983578443279
346.5,0.0000419152158752527
347,0.0000123328593680324
347.5,0.0000343653646163868
348,0.0000416767973726734
348.5,0.0000454283649264084
349,0.000045908040152851
349.5,0.0000471123999269948
350,0.0000801906716379499
350.5,0.0000939793424601698
351,0.0000851630060701782
351.5,0.0000909615618172834
352,0.0000892283383940476
